 INFO  Accepting connections at http://localhost:3000
 HTTP  11/24/2025 2:30:20 AM ::1 GET /
 HTTP  11/24/2025 2:30:20 AM ::1 Returned 200 in 71 ms
 HTTP  11/24/2025 2:30:21 AM ::1 GET /static/js/main.4603b47d.js
 HTTP  11/24/2025 2:30:21 AM ::1 GET /static/css/main.5260ace0.css
 HTTP  11/24/2025 2:30:21 AM ::1 Returned 200 in 9 ms
 HTTP  11/24/2025 2:30:21 AM ::1 Returned 200 in 12 ms
 HTTP  11/24/2025 2:30:21 AM ::1 GET /api/devices
 HTTP  11/24/2025 2:30:21 AM ::1 Returned 200 in 2 ms
 HTTP  11/24/2025 2:30:23 AM ::1 GET /api/devices
 HTTP  11/24/2025 2:30:23 AM ::1 Returned 304 in 2 ms
 HTTP  11/24/2025 2:30:27 AM 127.0.0.1 GET /
 HTTP  11/24/2025 2:30:27 AM 127.0.0.1 Returned 200 in 3 ms
